person_id,gender,age,mailing_locality,is_in_france,year_joined,year_last_membership,type_cfai_membership,is_society_member,duration_program_years,duration_membership_years,code_group_membership_change,is_on_professional_leave,employment_status,employer_type,seniority,churned
9157235,Male,30.0,France,True,2023,2025,Regular,True,3,3,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
9163854,Male,30.0,United Kingdom,False,2022,2022,Regular,False,3,1,1,False,Employed,Investment Bank,Early/Mid-Level,True
9173245,Male,49.0,France,True,2022,2023,Non-member,False,6,2,0,False,Employed,Other (please specify),Early/Mid-Level,True
9179681,Male,30.0,Europe excl France,False,2022,2022,Regular,False,3,1,1,False,Employed,Investment Bank,Early/Mid-Level,True
9189110,Female,31.0,France,True,2022,2025,Regular,True,3,4,2,False,Employed,Asset Management/Investment Firm,Senior-Level,False
9190660,Male,29.0,France,True,2023,2024,Regular,False,4,2,1,False,Employed,Insurance,Senior-Level,True
9190689,Male,28.0,France,True,2023,2024,Regular,True,2,2,0,False,Employed,Other (please specify),Early/Mid-Level,True
9191097,Male,29.0,France,True,2024,2025,Regular,True,5,2,0,False,Employed,Consulting Firm,Early/Mid-Level,False
9192887,Male,30.0,France,True,2022,2025,Regular,True,3,4,0,False,Employed,Asset Management/Investment Firm,Early/Mid-Level,False
9194066,Male,35.0,France,True,2022,2024,Regular,True,3,3,0,False,Employed,"Utilities (e.g., Oil and Gas, Energy)",Early/Mid-Level,True
9198414,Male,28.0,Europe excl France,False,2024,2025,Regular,True,4,2,3,False,Self-employed,Asset Management/Investment Firm,Early/Mid-Level,False
9203649,Female,28.0,France,True,2023,2024,Regular,False,4,2,1,False,Employed,Commercial Bank,Senior-Level,True
9203729,Male,30.0,France,True,2022,2023,Non-member,False,3,2,0,False,Employed,Private Wealth Management Firm/Family Office/Trusts,C-Suite,True
9216160,Male,31.0,France,True,2022,2025,Regular,True,3,4,3,False,Self-employed,Other (please specify),Early/Mid-Level,False
9217383,Male,36.0,France,True,2022,2023,Regular,False,3,2,1,False,Employed,Commercial Bank,Senior-Level,True
9221243,Male,28.0,France,True,2022,2023,Non-member,False,3,2,0,False,Employed,Other (please specify),Early/Mid-Level,True
